"","Country","Project.name","Subtype.of.PPI","Project.status","Subsector","Location4.1","ContractPeriod","InvestmentYear","TotalInvestment","CapacityType","Capacity","lon","lat"
"236","China","Ningxiang County Wastewater Treatment Plant","BOT","Active","Treatment plant","Ningxiang County","26",2009,"10.67","Cubic meters per day (in thousands)","50",112.551885,28.277482
"237","China","Putian Wastewater Treatment Plant Phase II","BOT","Active","Treatment plant","Putian City","27",2009,"10.01","Cubic meters per day (in thousands)","80",119.007777,25.454084
"238","China","Weifang City Wastewater Treatment Plant Reclaimed Water Reuse Project","BOT","Active","Treatment plant","Weifang City","30",2009,"3.03","Cubic meters per day (in thousands)","35",119.161748,36.706962
"239","China","Xianning City Water Supply Project","ROT","Active","Treatment plant","Xianning City","30",2009,"51.24","Cubic meters per day (in thousands)","160",114.322439,29.841438
"240","China","Xiaochang County Wastewater Treatment Plant Project ","BOT","Active","Treatment plant","Xiaochang County","20",2009,"12.01","Cubic meters per day (in thousands)","25",113.998009,31.258159
"241","China","Yibin County Wastewater Treatment BOT Project ","BOT","Active","Treatment plant","Yibin County","30",2009,"6.44","Cubic meters per day (in thousands)","20",104.533212,28.690045
"242","China","Yuexi County Wastewater Treatment Plant (Phase I)","BOT","Active","Treatment plant","Yuexi County","25",2009,"7.74","Cubic meters per day (in thousands)","20",102.50768,28.639801
"243","China"," Zhangjiakou Xuanhua District Yangfang Wastewater Treatment Plant ","ROT","Active","Treatment plant","Xuanhua District","30",2010,"38.97","Cubic meters per day (in thousands)","80",115.099494,40.608793
"244","China","Liaoyang City River East New City Water Affairs Project","BOT","Active","Water Utility","Liaoyang City","30",2010,"36.03","Cubic meters per day (in thousands)","198",123.236944,41.267244
"245","China","Ningguo Gangkouzhen Wastewater Treatment Plant","BOT","Active","Treatment plant","Anuhi Province","30",2010,NA,"Cubic meters per day (in thousands)","10",117.9249002,30.6006773
